id,word,definition,length,releaseDate
10498,kırdırma,"süresi dolmamış bir senedin, faiz ve komisyonu düşürülerek karşılığından eksiğine alınması, iskonto",8,2025-08-16
10499,şempanze,"primatlardan, ayakları beş parmaklı, tek yavru doğuran, iyi tırmanıcı olan, ormanlarda yaşayan bir tür maymun (pan troglodytes)",8,2025-08-16
10500,vehmetmek,"yersiz korkuya, kuşkuya düşmek, kuruntuya kapılmak, evhamlanmak",9,2025-08-16
10501,tıbbiyeli,tıp fakültesinde okuyan öğrenci,9,2025-08-16
10502,antet,başlık,5,2025-08-17
10503,havya,"madenlerle yapılan kaynak işlerinde lehimi eritmek için ateşle veya elektrikle kızdırılarak kullanılan, çoğunlukla çekiç biçiminde ucu bakır alet",5,2025-08-17
10504,malkoç,osmanlılarda akıncılar ocağının komutanı,6,2025-08-17
10505,şantaj,"herhangi bir çıkar sağlamak amacıyla bir kimseyi, kendisiyle ilgili lekeleyici, gözden düşürücü bir haberi yayma veya açığa çıkarma tehdidiyle korkutma",6,2025-08-17
10506,edisyon,baskı,7,2025-08-17
10507,iskonto,sözün bir bölümünü söylenmemiş sayma,7,2025-08-17
10508,zırtapoz,zıpır,8,2025-08-17
10509,merhamet,"bir kimsenin veya bir başka canlının karşılaştığı kötü durumdan dolayı duyulan üzüntü, acıma",8,2025-08-17
10510,diktirmek,dikme işini yaptırmak,9,2025-08-17
10511,yersizlik,yeri olmama veya yeri yeterli olmama durumu,9,2025-08-17
10512,büzme,"ağzı büzülerek kapatılan (kese, torba, çarşaf vb.)",5,2025-08-18
10513,işyar,"bir işle görevli olan kimse, görevli",5,2025-08-18
10514,kitabe,yazıt,6,2025-08-18
10515,kırağı,"su buğusunun soğuk havalarda, yerde, bitkiler, ağaçlar ve öteki nesneler üzerinde donmasıyla oluşan ince tabaka",6,2025-08-18
10516,şetlant,"shetland adaları'nda yetişen koyun türünün yününden yapılan kumaş, örgü vb",7,2025-08-18
10517,aceleci,"tez iş gören, çabuk davranan, canı tez, farfara, fırtına gibi, içi tez, ivecen, iveğen, kıvrak, sabırsız, tez canlı, telaşlı, acul",7,2025-08-18
10518,külbastı,közde veya ızgarada pişirilen kemiksiz et,8,2025-08-18
10519,bileklik,aksesuar amacıyla bileğe takılan ince zincir,8,2025-08-18
10520,yılankavi,"dolambaçlı, dolanarak giden",9,2025-08-18
10521,paslaşmak,bazı top oyunlarında oyuncular topu birbirine geçirmek,9,2025-08-18
10522,büzük,anüs,5,2025-08-19
10523,hozan,"dinlenmeye bırakılmış, birkaç yıl işlenmemiş tarla",5,2025-08-19
10524,ateşçi,"fabrika, vapur, lokomotif vb. ateşle işleyen yerlerde ocaklara kömür atıp ateşin sürekli yanmasını sağlayan kimse, kazancı, ocakçı.",6,2025-08-19
10525,temyiz,mahkemelerce verilen kararın kanun ve usul yönünden incelenmesini sağlayan yasal yol,6,2025-08-19
10526,gastrit,midedeki yangı,7,2025-08-19
10527,tadilat,değişiklikler,7,2025-08-19
10528,inzibati,"sıkı düzeni sağlayıcı, düzene bağlayıcı, insan davranışlarını sınırlayıcı, düzenleyici, baskı altına alıcı",8,2025-08-19
10529,çalkantı,"kargaşa ve bunalımın yol açtığı düzensiz, karışık, sıkıntılı durum",8,2025-08-19
10530,pantograf,"bir biçimi büyülterek veya küçülterek kopya etmek için kullanılan kollu, eklemli bir cetvel türü",9,2025-08-19
10531,vasıtasız,doğrudan,9,2025-08-19
10532,kırkı,davarların yün veya kıllarını kırkmaya yarayan makasa benzer araç,5,2025-08-20
10533,ekici,"herhangi bir tarım ürününü üreten, tarımla uğraşan çiftçi",5,2025-08-20
10534,nektar,"yunan mitolojisinde, içenleri ölümsüzlüğe kavuşturan tanrı içkisi",6,2025-08-20
10535,süzgeç,"sulama kovasının ucuna takılan, küçük delikli metal parça",6,2025-08-20
10536,boşamak,"kanunlara göre eşlerden biri, aile ilişkisini kesmek",7,2025-08-20
10537,develik,"özellikle güneydoğu anadolu'daki evlerin alt katında bulunan, develerin korunduğu veya bağlandığı bölüm",7,2025-08-20
10538,sızlamak,hafifçe ağrımak,8,2025-08-20
10539,neşriyat,yayın,8,2025-08-20
10540,saklambaç,oyunculardan birinin ebe olması ve saklanan arkadaşlarını bulması temeline dayanan bir çocuk oyunu,9,2025-08-20
10541,örnekseme,"bir kelime veya ek örnek tutularak başka kelime ve eklerin yaratılması, kıyas, analoji",9,2025-08-20
10542,sazak,mersin,5,2025-08-21
10543,kravl,dizleri bükmeksizin bacakları hızla hareket ettirerek kulaçla yüzme,5,2025-08-21
10544,ibadet,bir dinin buyruklarını yerine getirme,6,2025-08-21
10545,dişçik,çok küçük diş,6,2025-08-21
10546,ünlemek,yüksek sesle çağırmak,7,2025-08-21
10547,konveks,dışbükey,7,2025-08-21
10548,balıksız,balığı olmayan,8,2025-08-21
10549,işletmek,şaka ve birtakım yalanlarla sezdirmeden birini kandırmak veya onunla eğlenmek,8,2025-08-21
10550,kılkuyruk,"ördekgillerden, uzunluğu 55-65 santimetre, kuyruğu sivri, tüyleri ak yeşil karışık, gagası, ayakları mavi bir tür kuş (anas acuta)",9,2025-08-21
10551,ekspertiz,bilirkişi tarafından yapılan inceleme,9,2025-08-21
10552,hedef,"yapılması tasarlanan iş, amaç",5,2025-08-22
10553,firma,tüzel kişiliği olsun olmasın bir ekonomik etkinlik birimi,5,2025-08-22
10554,haraza,"öfke, sinir",6,2025-08-22
10555,ağızlı,ağzı herhangi bir biçimde olan,6,2025-08-22
10556,pirüpak,"tertemiz, lekesiz",7,2025-08-22
10557,malumat,bilgi,7,2025-08-22
10558,yanlamak,yanından geçmek,8,2025-08-22
10559,nezdinde,"yanında, huzurunda, gözetiminde",8,2025-08-22
10560,bunalımlı,"gerginlik, sıkıntı veren, gerginliği olan",9,2025-08-22
10561,kokartsız,kokart takmamış olan,9,2025-08-22
10562,gazve,din uğruna yapılan savaş,5,2025-08-23
10563,pütür,küçük kabarcık,5,2025-08-23
10564,badire,birdenbire ortaya çıkan tehlikeli durum,6,2025-08-23
10565,bozgun,"morali bozulmuş, çökmüş, yılgın",6,2025-08-23
10566,tantana,görkem,7,2025-08-23
10567,faşizan,faşist eğilimli,7,2025-08-23
10568,yadsımak,"yaptığı bir işi, söylediği sözü veya tanık olduğu bir şeyi yapmadığını, bilmediğini söylemek, yaptığını saklamak, inkâr etmek",8,2025-08-23
10569,mültezim,kesenekçi,8,2025-08-23
10570,antisemit,yahudilik karşıtı olan,9,2025-08-23
10571,parlatmak,birini gereğinden fazla övmek,9,2025-08-23
10572,kupon,i̇şveren tarafından çeşitli amaçlarda kullanılmak üzere çalışanlarına verilen para değeri olan fiş,5,2025-08-24
10573,zübde,öz (i),5,2025-08-24
10574,bayrak,"gerektiğinde indirilip kaldırılan, açılıp kapatılan kol",6,2025-08-24
10575,asliye,"temel, esas",6,2025-08-24
10576,ödünsüz,"ödün niteliğinde olmayan, ödün vermeksizin yapılan, ivazsız, tavizsiz",7,2025-08-24
10577,horultu,horlama sırasında çıkan sesin adı,7,2025-08-24
10578,zootekni,evcil hayvanları üretme ve yetiştirme bilimi,8,2025-08-24
10579,haybeden,"zahmet çekmeden, bedavadan",8,2025-08-24
10580,tantanacı,kuru gürültü çıkaran kimse,9,2025-08-24
10581,sarahaten,"açıkça, apaçık, açıktan açığa",9,2025-08-24
10582,gamlı,"kaygılı, tasalı, sıkıntısı, üzüntüsü olan, mağmum",5,2025-08-25
10583,sakil,ağır,5,2025-08-25
10584,etalon,ağırlık ve uzunluk ölçüleri için kabul edilmiş yasal ölçü modeli,6,2025-08-25
10585,kapsız,kaplanmamış olan,6,2025-08-25
10586,yönetim,dümen,7,2025-08-25
10587,lalanga,yağda kızartılarak üzerine şeker veya şerbet dökülen bir hamur tatlısı,7,2025-08-25
10588,bahçıvan,geçimini bahçe ürünlerini yetiştirip satmakla sağlayan kimse,8,2025-08-25
10589,gizlemek,"saklamak, görünmeyecek, belli olmayacak bir yere veya bir duruma koymak",8,2025-08-25
10590,yuvalamak,yuva yapmak,9,2025-08-25
10591,garantili,güvenceli,9,2025-08-25
10592,kütlü,"çekirdekli, çiğitli pamuk",5,2025-08-26
10593,siroz,karaciğerin büyümesi veya işlevlerinin körelmesi ile ortaya çıkan bir hastalık,5,2025-08-26
10594,mikado,japon imparatorlarına verilen unvan,6,2025-08-26
10595,esaret,boyunduruk,6,2025-08-26
10596,iştihar,"ün salma, tanınma",7,2025-08-26
10597,hamleci,atılımcı,7,2025-08-26
10598,gezilmek,"gezme işi yapılmak, dolaşılmak",8,2025-08-26
10599,küçülmek,büyükken herhangi bir sebeple küçük duruma gelmek,8,2025-08-26
10600,ihtiyaten,"her duruma, her ihtimale karşı, ilerisini düşünerek",9,2025-08-26
10601,müteveffa,müslüman olmayan kimseleri ölümünden sonra anarken kullanılan saygı sözü,9,2025-08-26
10602,yapık,belleme (ii),5,2025-08-27
10603,bazen,"ara sıra, kimileyin",5,2025-08-27
10604,muslin,"sık dokunmuş, parlak, ince, yumuşak bir kumaş türü",6,2025-08-27
10605,seyyah,"gezgin, turist",6,2025-08-27
10606,uçurmak,"hızlı götürmek, hızlı sürmek",7,2025-08-27
10607,ticaret,"alışveriş sonucu elde edilen, yararlanılan fiyat farkı, kâr",7,2025-08-27
10608,konserve,isı ile sterilize edilerek uzun zaman saklanabilecek biçimde kutulanmış (yiyecek),8,2025-08-27
10609,mandolin,"i̇kişer ikişer aynı değerde dört çift teli olan, kısa saplı bir çalgı",8,2025-08-27
10610,münasebet,"i̇lişik, ilişki, ilinti",9,2025-08-27
10611,mürebbiye,bir çocuğun eğitim ve bakımıyla görevlendirilmiş kadın,9,2025-08-27
10612,denyo,"emanet, rehin, tutu",5,2025-08-28
10613,mahal,yöre (i),5,2025-08-28
10614,bedbin,kötümser,6,2025-08-28
10615,alınış,alınma işi,6,2025-08-28
10616,plaster,genellikle ciltteki yara vb. hasarların dış etkenlerden korunması veya tıbbi gereçlerin cilde sabitlenmesi için kullanılan yapışkan özellikte malzeme,7,2025-08-28
10617,tecrübe,deneyim,7,2025-08-28
10618,tırmanma,"atom silahlarının gücünün önüne geçilmez, önlenemez bir biçimde hızlanmasını belirten terim",8,2025-08-28
10619,hüsnühat,güzel yazı sanatı,8,2025-08-28
10620,kısaltmak,kısa duruma getirmek,9,2025-08-28
10621,kontralto,kadın seslerinin en kalını,9,2025-08-28
10622,pasif,"çekingen, durgun",5,2025-08-29
10623,ileti,"yazı veya sözle verilen, gönderilen bilgi, mesaj",5,2025-08-29
10624,lipari,çirozluktan sonra yağlanmaya başlayan uskumru,6,2025-08-29
10625,kayser,roma ve bizans imparatorlarına verilen san,6,2025-08-29
10626,zahiren,görünüşte,7,2025-08-29
10627,kretase,"genellikle alt bölümü killi ve kumlu, üst bölümü tebeşir olan i̇kinci çağ'ın son dönemi",7,2025-08-29
10628,istihale,başkalaşma,8,2025-08-29
10629,yalıtkan,"herhangi bir teması, sürtünmeyi önlemek için elektrik iletkenlerini saran, koruyan porselen, kauçuk vb. madde",8,2025-08-29
10630,meziyetli,"beğenilen, üstün nitelikleri bulunan",9,2025-08-29
10631,saplanmak,hızla batmak,9,2025-08-29
10632,ölçer,ateşi karıştıracak demir kol,5,2025-08-30
10633,iblağ,bir şeyin miktarını tamamlama,5,2025-08-30
10634,beriki,beride olan şey veya kimse,6,2025-08-30
10635,derpiş,"öngörme, göz önünde tutma, aklından geçirme",6,2025-08-30
10636,fonetik,ses bilgisi,7,2025-08-30
10637,konsept,"anlayış, görüş",7,2025-08-30
10638,iktisadi,ekonomik,8,2025-08-30
10639,çağrışım,"bir düşünce, görüntü vb.nin bir başkasını hatırlatması",8,2025-08-30
10640,güdümleme,"bir görüş, kanı veya inancı benimsetme çabası",9,2025-08-30
10641,karnıkara,börülce,9,2025-08-30
10642,kokoz,"parası olmayan, züğürt",5,2025-08-31
10643,koyar,i̇ki akarsuyun birleştiği yer,5,2025-08-31
10644,çakşır,paça bölümü diz üstünde veya diz altında kalan bir tür erkek şalvarı,6,2025-08-31
10645,ebonit,yüz kısım kauçuğun otuz iki kısım kükürtle işlenmesinden elde edilen plastik madde,6,2025-08-31
10646,realist,gerçekçi,7,2025-08-31
10647,apriori,önsel,7,2025-08-31
10648,çalıştay,bilim adamlarının ve uzmanların bir konuda ön hazırlık yapmak üzere katıldığı inceleme ve değerlendirme toplantısı,8,2025-08-31
10649,bilimsiz,"bilime, bilim yöntemlerine uygun olmayan",8,2025-08-31
10650,müzaheret,"yardım etme, arkalama, destekleme, arka çıkma",9,2025-08-31
10651,editörlük,yayımcılık,9,2025-08-31
10652,ucube,"çok acayip, şaşılacak kadar çirkin olan",5,2025-09-01
10653,şakak,"göz, alın ve yanak arasında, elmacık kemiğinin üstünde bulunan çukurumsu bölge",5,2025-09-01
10654,dümtek,klasik türk müziğinde tempo,6,2025-09-01
10655,teshir,"ele geçirme, zapt etme",6,2025-09-01
10656,acıtmak,acılık vermek,7,2025-09-01
10657,muhacim,"saldıran, saldırıcı",7,2025-09-01
10658,domuzuna,"i̇nat olsun diye, inadına",8,2025-09-01
10659,davetsiz,"çağrılmaksızın, çağrılmadan",8,2025-09-01
10660,istirahat,"dinlenme, rahat etme",9,2025-09-01
10661,çaydanlık,çay hazırlamak için kullanılan mutfak eşyası,9,2025-09-01
10662,belik,saç örgüsü,5,2025-09-02
10663,radar,"trafik polisleri tarafından kullanılan, taşıtların hızını saptamaya yarayan aygıt",5,2025-09-02
10664,kontur,resimde nesneyi belirgin gösteren çevre çizgisi,6,2025-09-02
10665,intiba,i̇zlenim,6,2025-09-02
10666,karavel,çift motorlu bir uçak türü,7,2025-09-02
10667,biricik,"eşi, benzeri, ikincisi olmayan ve çok sevilen, tek, yegâne",7,2025-09-02
10668,protokol,resmî ilişkilerde ve işlemlerde ciddiyet,8,2025-09-02
10669,bağlaşık,"sonuç, sebep gibi birbiriyle sıkı sıkıya bağlı ve karşılıklı bağımlı olan (nesne, terim)",8,2025-09-02
10670,yanıtlama,cevaplama,9,2025-09-02
10671,senkronik,eş zamanlı,9,2025-09-02
10672,zaman,"dönem, devir",5,2025-09-03
10673,arena,"boğa güreşi, yarış, oyun vb. gösteriler yapılan alan",5,2025-09-03
10674,keçeci,keçe yapan veya satan kimse,6,2025-09-03
10675,temaşa,"hoşlanarak bakma, seyretme",6,2025-09-03
10676,evermek,evlendirmek,7,2025-09-03
10677,ölesiye,fazla bir biçimde,7,2025-09-03
10678,kalandır,"dokunmuş kumaş ve bezleri buhar altında veya belli bir ısıda silindir arasından geçirerek ütüleme, parlatma, istenilen boy ve ene göre çektirip germe",8,2025-09-03
10679,direktör,yönetmen,8,2025-09-03
10680,formalizm,biçimcilik,9,2025-09-03
10681,cenapları,saygı duyulan kişilerin adlarını veya makamlarını gösteren söze başka unvanlarla birlikte getirilen bir söz,9,2025-09-03
10682,stant,sergilik,5,2025-09-04
10683,resim,bunu yapmak için gerekli yöntemleri öğreten sanat,5,2025-09-04
10684,salise,saniyenin altmışta biri olan zaman birimi,6,2025-09-04
10685,yakmak,"kına, yakı vb.ni koymak, sürmek",6,2025-09-04
10686,varidat,gelirler,7,2025-09-04
10687,meneviş,hare,7,2025-09-04
10688,kibirsiz,"kendini büyük görmeyen, büyüklenmeyen",8,2025-09-04
10689,ufunetli,"i̇çinde irin, cerahat olan",8,2025-09-04
10690,kartvizit,kart (ii),9,2025-09-04
10691,neredeyse,hemen hemen,9,2025-09-04
10692,kıssa,"ders çıkarılması gereken anlatı, olay",5,2025-09-05
10693,parka,genellikle gençlerin giydiği başlıklı bir tür üstlük,5,2025-09-05
10694,süvari,ticaret gemilerinde kaptanlık yapan kimse,6,2025-09-05
10695,mübrem,"çok gerekli olan, kaçınılmaz, vazgeçilmez",6,2025-09-05
10696,akıtmak,"akmasını sağlamak, akmasına yol açmak, dökmek",7,2025-09-05
10697,kraliçe,kendi cinsleri arasında herhangi bir bakımdan üstünlüğü olan kadın,7,2025-09-05
10698,yarışlık,pist (ii),8,2025-09-05
10699,kurutmak,suyunu ve ıslaklığını giderip kuru duruma getirmek,8,2025-09-05
10700,kuşlokumu,"yumurta, un ve şekerle yapılan bir kurabiye türü",9,2025-09-05
10701,oymacılık,"oyma yapma sanatı, hakkâklik",9,2025-09-05
10702,cebin,"alın, yüz",5,2025-09-06
10703,banko,talih oyunlarında ortada toplanan paranın hepsine oynandığını anlatan bir söz,5,2025-09-06
10704,babaca,"baba gibi, babaya yakışır",6,2025-09-06
10705,meşhut,"görülen, gözle görülmüş, tanık olunmuş",6,2025-09-06
10706,tuvalet,"yıkanma, tıraş olma, giyinme, süslenme, taranma işi",7,2025-09-06
10707,çeşnici,saraylarda ve büyük konaklarda yemek ve sofra işlerini yöneten kimse,7,2025-09-06
10708,hayırsız,"sevgi ve bağlılığını yitiren, vefasız",8,2025-09-06
10709,strüktür,yapı,8,2025-09-06
10710,fakirhane,düşkünler yurdu,9,2025-09-06
10711,yalıtımlı,"hava, ısı, ses vb.ni geçirmeyen, hermetik",9,2025-09-06
10712,nefir,yuf borusu,5,2025-09-07
10713,yaman,"alışılmadık, olağanın dışında",5,2025-09-07
10714,karina,gemi omurgası,6,2025-09-07
10715,savana,ekvator kuşağındaki otsu bitkilerle kaplı çayırlar,6,2025-09-07
10716,güvence,alınan sorumluluğa karşı olarak ortaya konulan şey,7,2025-09-07
10717,pabuççu,ayakkabıcı,7,2025-09-07
10718,icraatçı,"uygulayan, çalışan, yapan kimse",8,2025-09-07
10719,guvernör,bir kamu kuruluşunu veya özel kuruluşu yöneten kimse,8,2025-09-07
10720,oltacılık,olta yapma veya satma işi,9,2025-09-07
10721,oyunbozan,"birlikte yapılmasına karar verilen bir işten tek taraflı cayan (kimse), mızıkçı",9,2025-09-07
10722,vukuf,biliş,5,2025-09-08
10723,bahri,denizle ilgili,5,2025-09-08
10724,sincik,adıyaman iline bağlı ilçelerden biri,6,2025-09-08
10725,mendil,"i̇çine bazı şeyler konulan kumaş, yağlık",6,2025-09-08
10726,közleme,köz üzerinde pişirilen yiyecek,7,2025-09-08
10727,lokanta,"yemek pişirilip satılan yer, aşevi, restoran",7,2025-09-08
10728,sathilik,yüzeysellik,8,2025-09-08
10729,doğurgan,"çok eser veren, velut",8,2025-09-08
10730,bildirmek,herhangi bir şeyi haber vermek,9,2025-09-08
10731,troposfer,atmosferin 11 kilometrelik ilk katmanı,9,2025-09-08
10732,iteği,un elerken dökülmemesi için yere serilen örtü,5,2025-09-09
10733,nüzul,i̇nme,5,2025-09-09
10734,kurnaz,"kolay kanmayan, başkalarını kandırmasını ve ufak tefek oyunlarla amacına erişmesini beceren, açıkgöz, hin",6,2025-09-09
10735,başucu,yeryüzünde bir noktada çekülün gösterdiği doğrultunun gökyüzüne doğru olan yönü,6,2025-09-09
10736,ıstakoz,"istakozlardan, suda yaşayan, birinci ayak çifti güçlü iki kıskaç durumunda gelişmiş bulunan, beyaz eti için avlanan iri bir böcek (homarus vulgaris)",7,2025-09-09
10737,depozit,güvence akçesi,7,2025-09-09
10738,tazminat,"zarar karşılığı ödenen para, ödence",8,2025-09-09
10739,barışçıl,barışsever,8,2025-09-09
10740,stoklamak,i̇htiyacın üstünde bir malı aşırı miktarda yığmak,9,2025-09-09
10741,desilitre,bir litrenin onda biri hacminde bir ölçü birimi,9,2025-09-09
10742,yavru,yeni doğmuş hayvan veya insan,5,2025-09-10
10743,balkı,"ağrı, sancı",5,2025-09-10
10744,yanmak,"isı, ışık veren bir konuma geçmek",6,2025-09-10
10745,neşren,yayım yoluyla,6,2025-09-10
10746,sarılık,sarı renk,7,2025-09-10
10747,bağıntı,bir nesneyi başka bir nesne ile uyarlı kılan bağ,7,2025-09-10
10748,ibraname,aklama belgesi,8,2025-09-10
10749,altıntop,"i̇ki çeneklilerden, uzun dikenli ve kürecikler hâlinde çiçekleri olan bir tür kaktüs (trollius ranunculoides)",8,2025-09-10
10750,çözdürmek,çözme işini yaptırmak,9,2025-09-10
10751,püskürtme,"sıçramış, fırlamış",9,2025-09-10
10752,fakül,benek,5,2025-09-11
10753,humus,bitkilerin çürümesiyle oluşan koyu renkte organik toprak,5,2025-09-11
10754,varsıl,"parası, malı çok olan, zengin, yoksul karşıtı",6,2025-09-11
10755,mahlut,katışık,6,2025-09-11
10756,bulamaç,"sulu, cıvık hamur",7,2025-09-11
10757,sadakat,i̇çten bağlılık,7,2025-09-11
10758,zıddiyet,"geçimsizlik, çekemezlik, birbini sevmeme",8,2025-09-11
10759,münhasır,"bir kimse veya bir şey için ayrılmış, mahsus",8,2025-09-11
10760,ineklemek,"çok çalışmak, ezberleyerek öğrenmek",9,2025-09-11
10761,soldurmak,solmasına sebep olmak,9,2025-09-11
10762,bedir,dolunay,5,2025-09-12
10763,aşıcı,aşı yapan kimse,5,2025-09-12
10764,grevci,i̇ş bırakımcı,6,2025-09-12
10765,fasıla,"aralık, ara, kesinti",6,2025-09-12
10766,elastik,esnek,7,2025-09-12
10767,taammüt,"bir işi veya suçu bile bile, tasarlayarak yapma",7,2025-09-12
10768,şişinmek,"surat asmak, dargın durmak",8,2025-09-12
10769,mülevves,"karışık, düzensiz",8,2025-09-12
10770,düşünceli,"kaygılı, tasalı",9,2025-09-12
10771,koreograf,baleyi oluşturan adım ve figürleri düzenleyen sanatçı,9,2025-09-12
10772,havlu,vücudun çeşitli yerlerinin kurulanmasına yarayan dokuma bez,5,2025-09-13
10773,lütuf,"önem verilen, sayılan birinden gelen iyilik ve yardım, ihsan, inayet, atıfet",5,2025-09-13
10774,kalben,"i̇çten, gönülden gelerek, yürekten",6,2025-09-13
10775,müsait,"uygun, elverişli",6,2025-09-13
10776,ardışık,"birbiri ardından gelen, mütevali",7,2025-09-13
10777,çembalo,klavsen,7,2025-09-13
10778,kabadayı,"bir şeyin en iyisi, başta geleni",8,2025-09-13
10779,savlamak,i̇ddia etmek,8,2025-09-13
10780,pedodonti,diş hekimliğinde çocuk dişlerinin tedavisine ağırlık veren uzmanlık alanı,9,2025-09-13
10781,kasavetli,"üzüntülü, sıkıntılı, tasalı, kaygılı",9,2025-09-13
10782,sperm,meni,5,2025-09-14
10783,matem,yas,5,2025-09-14
10784,dıştan,aslında olmayıp sonradan ve dışarının etkisiyle ortaya çıkan (düşünceler),6,2025-09-14
10785,uzantı,"ana konumdaki bir bütünün, özün veya durumun, kendisinden ayrı görülen ancak aynı yapısal özellikleri içeren parçası",6,2025-09-14
10786,gülücük,"gülümseme, tebessüm",7,2025-09-14
10787,çökelek,"yağı alınmış süt veya yoğurdun kaynatılmasıyla elde edilen bir peynir türü, kesik, ekşimik, torak",7,2025-09-14
10788,yaltakçı,dalkavuk,8,2025-09-14
10789,yarımlık,fıtık,8,2025-09-14
10790,ateşlemek,"tutuşturmak, yakmak",9,2025-09-14
10791,ustalıkla,kurnazca,9,2025-09-14
10792,meles,beli çökük at,5,2025-09-15
10793,sabah,güneşin doğduğu andan öğleye kadar geçen zaman,5,2025-09-15
10794,isteka,"basımevlerinde kitap formalarını kırmak, katlamak için kullanılan sert tahta veya kemikten yapılmış araç",6,2025-09-15
10795,sümter,"kırmızımtırak, küçük taneli sert buğday",6,2025-09-15
10796,cilasun,yiğit kimse,7,2025-09-15
10797,iğnelik,"üzerine iğne saplanan küçük yastık, iğnedenlik, iğne yastığı",7,2025-09-15
10798,mücehhez,donanmış,8,2025-09-15
10799,kurultay,eski türklerde devlet işlerinin görüşülüp karara bağlandığı meclis,8,2025-09-15
10800,kıskıvrak,çözülemeyecek veya kurtulamayacak bir biçimde,9,2025-09-15
10801,kovdurmak,kovma işini yaptırmak,9,2025-09-15
10802,yükün,i̇yon,5,2025-09-16
10803,nezle,"soğuk almaktan ileri gelen, burun akması, aksırma ile beliren hastalık, ingin, tumağı, dumağı, çaputlama, zükâm, nevazil",5,2025-09-16
10804,zorluk,"sıkıntı veya güçlükle yapılma durumu, zor olma, güçlük, zahmet",6,2025-09-16
10805,granit,"kuvars, feldspat, ortoklaz ve mika minerallerinden birleşmiş türlü renkte, billursu, çok sert bir kayaç türü",6,2025-09-16
10806,gururlu,"kendi kişiliğine önem veren, onurlu, mağrur",7,2025-09-16
10807,tarhana,"i̇çine domates, biber, soğan, kokulu otlar, süt veya yoğurt katılan, bulgur, mayalanmış ve kurutularak ufalanmış hamur vb.nden yapılan çorba malzemesi",7,2025-09-16
10808,aleniyet,açıklık,8,2025-09-16
10809,savunucu,"bir şeyi savunan kimse, müdafi",8,2025-09-16
10810,malumatlı,bilgili,9,2025-09-16
10811,desinatör,mesleği desen yapmak olan kimse,9,2025-09-16
10812,yanak,lastik tekerlekli taşıtlarda lastiğin jant ile yere temas eden bölümü arasında kalan yan yüzeyi,5,2025-09-17
10813,nikel,"atom numarası 28, atom ağırlığı 58,71, yoğunluğu 8,9 olan, gümüş parlaklığında, demir sertliğinde, kolay işlenebilen ve kolayca tel durumuna getirilebilen bir element (simgesi ni)",5,2025-09-17
10814,höllük,kundak çocuklarının altına bez yerine konulan toprak,6,2025-09-17
10815,zındık,tanrı'ya ve ahirete inanmayan (kimse),6,2025-09-17
10816,çatalca,i̇stanbul iline bağlı ilçelerden biri,7,2025-09-17
10817,ayrılma,bir biçmeden geçen beyaz ışığın türlü renklerde görünmesi,7,2025-09-17
10818,naldöken,"taşlı, çakıllı yol",8,2025-09-17
10819,tirendaz,ok atan,8,2025-09-17
10820,eşitlemek,eşit duruma getirmek,9,2025-09-17
10821,jeotermal,yer altında bulunduğu veya yer altından geçtiği için sıcaklığı yüksek olan,9,2025-09-17
10822,işlem,sayıları karşı karşıya getirip belirli birtakım kurallara uygun olarak birbiri üzerine etkilendirme yöntemi,5,2025-09-18
10823,izlek,"keçi yolu, patika",5,2025-09-18
10824,yandık,"baklagillerden, sıcak ve kurak bölgelerde yetişen, sarımtırak küçük tohumlarından kudret helvasına benzer bir madde elde edilen bitki (alhagi maurorum)",6,2025-09-18
10825,açınım,"bir cismin yüzeylerinin açılıp bir düzlem üzerine yayılması, inkişaf",6,2025-09-18
10826,dayılık,kayırıcılık,7,2025-09-18
10827,refleks,tepke,7,2025-09-18
10828,sapaklık,"belli bir ölçüye, belli kurala uymama durumu",8,2025-09-18
10829,çaldıran,van iline bağlı ilçelerden biri,8,2025-09-18
10830,hicvetmek,alay yoluyla yermek,9,2025-09-18
10831,külfetsiz,az masraf yaparak,9,2025-09-18
10832,acele,tez davranma gerekliliği,5,2025-09-19
10833,çotra,ağaçtan yapılmış küçük su kabı,5,2025-09-19
10834,haydut,"silahlı soygun yapan, yol kesen kimse",6,2025-09-19
10835,tahkim,"kuvvetlendirme, sağlamlaştırma",6,2025-09-19
10836,tasfiye,"bir ticaret kuruluşunun batması, kapanması vb. sebepler üzerine hesapların kesilmesi, alacaklılara, ortada kalan mal ve paradan paylarına düşen miktarın verilmesi, likidasyon",7,2025-09-19
10837,sistire,bir tahtanın üzerindeki ufak pürüzleri giderip onu dümdüz bir duruma getirmeye yarayan ince çelik lama,7,2025-09-19
10838,kavmiyet,kavme bağlılık,8,2025-09-19
10839,afyonkeş,"keyif için afyon yutan veya çeken, afyon tiryakisi olan kimse",8,2025-09-19
10840,krizantem,kasımpatı,9,2025-09-19
10841,korumasız,"korunmayan, himayesiz",9,2025-09-19
10842,hırbo,"sersem, salak, kaba saba",5,2025-09-20
10843,sayfa,"üzerine yazı yazılan veya basılan bir kâğıt yaprağın iki yüzünden her biri, sahife",5,2025-09-20
10844,cemile,gönül alıcı davranış,6,2025-09-20
10845,dilsel,dille ilgili,6,2025-09-20
10846,yanında,"bir şeye, bir kimseye göre, nispetle",7,2025-09-20
10847,tayyare,uçak,7,2025-09-20
10848,sesletim,söyleyiş,8,2025-09-20
10849,maddeten,"maddi bakımdan, manen karşıtı",8,2025-09-20
